identity/LineItemId,identity/TimeInterval,bill/InvoiceId,bill/BillingEntity,bill/BillType,bill/PayerAccountId,bill/BillingPeriodStartDate,bill/BillingPeriodEndDate,lineItem/UsageAccountId,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/AvailabilityZone,lineItem/ResourceId,lineItem/UsageAmount,lineItem/NormalizationFactor,lineItem/NormalizedUsageAmount,lineItem/CurrencyCode,lineItem/UnblendedRate,lineItem/UnblendedCost,lineItem/BlendedRate,lineItem/BlendedCost,lineItem/LineItemDescription,lineItem/TaxType,lineItem/LegalEntity,product/ProductName,product/capacitystatus,product/clockSpeed,product/currentGeneration,product/ecu,product/fromLocation,product/fromLocationType,product/group,product/groupDescription,product/instanceFamily,product/instanceType,product/instanceTypeFamily,product/licenseModel,product/location,product/locationType,product/maxIopsBurstPerformance,product/maxIopsvolume,product/maxThroughputvolume,product/maxVolumeSize,product/memory,product/networkPerformance,product/normalizationSizeFactor,product/operatingSystem,product/operation,product/physicalProcessor,product/preInstalledSw,product/processorArchitecture,product/processorFeatures,product/productFamily,product/region,product/servicecode,product/servicename,product/sku,product/storage,product/storageMedia,product/tenancy,product/toLocation,product/toLocationType,product/transferType,product/usagetype,product/vcpu,product/volumeType,pricing/RateId,pricing/publicOnDemandCost,pricing/publicOnDemandRate,pricing/term,pricing/unit,reservation/AmortizedUpfrontCostForUsage,reservation/AmortizedUpfrontFeeForBillingPeriod,reservation/EffectiveCost,reservation/EndTime,reservation/ModificationStatus,reservation/NormalizedUnitsPerReservation,reservation/RecurringFeeForUsage,reservation/StartTime,reservation/SubscriptionId,reservation/TotalReservedNormalizedUnits,reservation/TotalReservedUnits,reservation/UnitsPerReservation,reservation/UnusedAmortizedUpfrontFeeForBillingPeriod,reservation/UnusedNormalizedUnitQuantity,reservation/UnusedQuantity,reservation/UnusedRecurringFee,reservation/UpfrontValue
uh6f64r3d66rk2x4ehwijv4sc4x6qsyfzhxlmb4jok44vspad6sa,2019-09-01T00:00:00Z/2019-10-01T00:00:00Z,,AWS,Anniversary,893940319335,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,893940319335,Tax,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,AmazonEC2,USE2-BoxUsage:t2.small,RunInstances,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonEC2 usage type USE2-BoxUsage:t2.small operation RunInstances,USSalesTax,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rj34zaub6njb6xr5y7x2zu4wzhjywmcg6t277pvjask5hznwke3a,2019-09-01T00:00:00Z/2019-10-01T00:00:00Z,,AWS,Anniversary,893940319335,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,893940319335,Tax,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,AmazonEC2,USE2-EBS:VolumeUsage.gp2,,,,1.0000000000,,,USD,,0.0000000000,,0.0000000000,Tax for product code AmazonEC2 usage type USE2-EBS:VolumeUsage.gp2,USSalesTax,"Amazon Web Services, Inc.",Amazon Elastic Compute Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zaxh7t3xm2jhmnyypqwuz653cveimypdkqt4yyt7cbtzc5em6quq,2019-09-25T01:00:00Z/2019-09-25T02:00:00Z,,AWS,Anniversary,893940319335,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,893940319335,Usage,2019-09-25T01:00:00Z,2019-09-25T02:00:00Z,AmazonS3,Requests-Tier1,CreateBucket,,,1.0000000000,,,USD,0.0000050000,0.0000050000,0.0000050000,0.0000050000,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,,,S3-API-Tier1,PUT/COPY/POST or LIST requests,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,API Request,us-east-1,AmazonS3,Amazon Simple Storage Service,E9YHNFENF4XQBZR6,,,,,,,Requests-Tier1,,,535563340,0.0000050000,0.0000050000,OnDemand,Requests,,,,,,,,,1302748978,,,,,,,,
75dqftzb4nhdetio6yjbycqc5isguxonawdajwkiclakvfu3dw5q,2019-09-25T01:00:00Z/2019-09-25T02:00:00Z,,AWS,Anniversary,893940319335,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,893940319335,Usage,2019-09-25T01:00:00Z,2019-09-25T02:00:00Z,AmazonS3,Requests-Tier1,CreateBucket,,kenji-billing-test,1.0000000000,,,USD,0.0000050000,0.0000050000,0.0000050000,0.0000050000,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,,,S3-API-Tier1,PUT/COPY/POST or LIST requests,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,API Request,us-east-1,AmazonS3,Amazon Simple Storage Service,E9YHNFENF4XQBZR6,,,,,,,Requests-Tier1,,,535563340,0.0000050000,0.0000050000,OnDemand,Requests,,,,,,,,,1302748978,,,,,,,,
z5hue6bzgkxehv4zkb247vbwjtr4stnfqr6f2fyxba6ucipzms2q,2019-09-25T01:00:00Z/2019-09-25T02:00:00Z,,AWS,Anniversary,893940319335,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,893940319335,Usage,2019-09-25T01:00:00Z,2019-09-25T02:00:00Z,AmazonS3,Requests-Tier1,ListAllMyBuckets,,,2.0000000000,,,USD,0.0000050000,0.0000100000,0.0000050000,0.0000100000,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,,,S3-API-Tier1,PUT/COPY/POST or LIST requests,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,API Request,us-east-1,AmazonS3,Amazon Simple Storage Service,E9YHNFENF4XQBZR6,,,,,,,Requests-Tier1,,,535563340,0.0000100000,0.0000050000,OnDemand,Requests,,,,,,,,,1302748978,,,,,,,,
ai6jdhtqppn3ryf5gmd6vxueu2neignagp3gbgyiqhp56o2qplzq,2019-09-25T01:00:00Z/2019-09-25T02:00:00Z,,AWS,Anniversary,893940319335,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,893940319335,Usage,2019-09-25T01:00:00Z,2019-09-25T02:00:00Z,AmazonS3,Requests-Tier1,ListBucket,,kenji-billing-test,1.0000000000,,,USD,0.0000050000,0.0000050000,0.0000050000,0.0000050000,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,,,S3-API-Tier1,PUT/COPY/POST or LIST requests,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,API Request,us-east-1,AmazonS3,Amazon Simple Storage Service,E9YHNFENF4XQBZR6,,,,,,,Requests-Tier1,,,535563340,0.0000050000,0.0000050000,OnDemand,Requests,,,,,,,,,1302748978,,,,,,,,
awtag7m4bjddwcem4ly5yg3mka75bb5ovzrpzwjddshmcfl4wu6a,2019-09-25T01:00:00Z/2019-09-25T02:00:00Z,,AWS,Anniversary,893940319335,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,893940319335,Usage,2019-09-25T01:00:00Z,2019-09-25T02:00:00Z,AmazonS3,Requests-Tier1,PutObject,,kenji-billing-test,2.0000000000,,,USD,0.0000050000,0.0000100000,0.0000050000,0.0000100000,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,,,S3-API-Tier1,PUT/COPY/POST or LIST requests,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,API Request,us-east-1,AmazonS3,Amazon Simple Storage Service,E9YHNFENF4XQBZR6,,,,,,,Requests-Tier1,,,535563340,0.0000100000,0.0000050000,OnDemand,Requests,,,,,,,,,1302748978,,,,,,,,
nb7xgt6tn7f6cb4uvwazpuupkoxlofudmlyzgyc7roszusssf6kq,2019-09-25T01:00:00Z/2019-09-25T02:00:00Z,,AWS,Anniversary,893940319335,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,893940319335,Usage,2019-09-25T01:00:00Z,2019-09-25T02:00:00Z,AmazonS3,Requests-Tier1,WriteBucketPolicy,,kenji-billing-test,1.0000000000,,,USD,0.0000050000,0.0000050000,0.0000050000,0.0000050000,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,,,S3-API-Tier1,PUT/COPY/POST or LIST requests,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,API Request,us-east-1,AmazonS3,Amazon Simple Storage Service,E9YHNFENF4XQBZR6,,,,,,,Requests-Tier1,,,535563340,0.0000050000,0.0000050000,OnDemand,Requests,,,,,,,,,1302748978,,,,,,,,
nqkkfn42sakks56a5eapma2dup5xhrkt2ymdag6hqi6az4erbjrq,2019-09-25T01:00:00Z/2019-09-25T02:00:00Z,,AWS,Anniversary,893940319335,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,893940319335,Usage,2019-09-25T01:00:00Z,2019-09-25T02:00:00Z,AmazonS3,Requests-Tier2,HeadBucket,,kenji-billing-test,4.0000000000,,,USD,0.0000004000,0.0000016000,0.0000004000,0.0000016000,"$0.004 per 10,000 GET and all other requests",,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,,,S3-API-Tier2,GET and all other requests,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,API Request,us-east-1,AmazonS3,Amazon Simple Storage Service,ZWQ6Q48CRJXX4FXE,,,,,,,Requests-Tier2,,,535563310,0.0000016000,0.0000004000,OnDemand,Requests,,,,,,,,,1302748978,,,,,,,,
cm2aofvlbcqf2pdv5g45pcb5adizps2ulln7ifejdd4kzbrncfiq,2019-09-25T01:00:00Z/2019-09-25T02:00:00Z,,AWS,Anniversary,893940319335,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,893940319335,Usage,2019-09-25T01:00:00Z,2019-09-25T02:00:00Z,AmazonS3,Requests-Tier2,ReadACL,,kenji-billing-test,3.0000000000,,,USD,0.0000004000,0.0000012000,0.0000004000,0.0000012000,"$0.004 per 10,000 GET and all other requests",,"Amazon Web Services, Inc.",Amazon Simple Storage Service,,,,,,,S3-API-Tier2,GET and all other requests,,,,,US East (N. Virginia),AWS Region,,,,,,,,,,,,,,API Request,us-east-1,AmazonS3,Amazon Simple Storage Service,ZWQ6Q48CRJXX4FXE,,,,,,,Requests-Tier2,,,535563310,0.0000012000,0.0000004000,OnDemand,Requests,,,,,,,,,1302748978,,,,,,,,
